어떠/B_XRI	어떠/XR
외국어/B_NNGII	외국어/NNG
신세계백화점/B_NNPIIIII	신세계백화점/NNP
머뭇거렸/B_VVIII+EP	머뭇거리/VV + 었/EP
나머지/B_NNGII	나머지/NNG
붙인/B_VVI+ETM	붙이/VV + ㄴ/ETM
자상/B_XRI	자상/XR
됐/B_XSV+EP	되/XSV + 었/EP
역대/B_NNGI	역대/NNG
질긴/B_VAI+ETM	질기/VA + ㄴ/ETM
진/B_NNG	진/NNG
평생/B_NNGI	평생/NNG
농산물/B_NNGII	농산물/NNG
망원경/B_NNGII	망원경/NNG
항존/B_NNGI	항존/NNG
감별/B_NNGI	감별/NNG
노면/B_NNGI	노면/NNG
옆집/B_NNGI	옆집/NNG
주동자/B_NNGII	주동자/NNG
경력/B_NNGI	경력/NNG
돌아누워서/B_VVII+B_NYI_ECI	돌아눕/VV + 어서/EC
왕자/B_NNGI	왕자/NNG
자/B_NNB	자/NNB
해라/B_XSV+B_NYI_EC	하/XSV + 아라/EC
자/B_NNG	자/NNG
부터/B_JXI	부터/JX
퇴보/B_NNGI	퇴보/NNG
만약/B_NNGI	만약/NNG
못하/B_VAI	못하/VA
영훈중/B_NNPII	영훈중/NNP
위해서/B_VVI_ECI	위하/VV
고통/B_NNGI	고통/NNG
구상/B_NNGI	구상/NNG
모색/B_NNGI	모색/NNG
숨겼/B_VVI+EP	숨기/VV + 었/EP
35/B_SNI	35/SN
다니/B_VVI	다니/VV
안정/B_NNGI	안정/NNG
교직/B_NNGI	교직/NNG
에요/B_VCP+B_NYI_EF	이/VCP + 에요/EF
폈/B_VV+EP	피/VV + 었/EP
술안주/B_NNGII	술안주/NNG
주방/B_NNGI	주방/NNG
바닥날/B_VVII+ETM	바닥나/VV + ㄹ/ETM
그만/B_MAGI	그만/MAG
스미/B_VVI	스미/VV
탄식/B_NNGI	탄식/NNG
연료/B_NNGI	연료/NNG
장애인/B_NNGII	장애인/NNG
어떨까/B_VAI+B_NYI_EC	어떻/VA + ㄹ까/EC
기회/B_NNGI	기회/NNG
센터/B_NNGI	센터/NNG
무료/B_NNGI	무료/NNG
둥게스와리/B_NNPIIII	둥게스와리/NNP
벌/B_NNG	벌/NNG
한다더니/B_XSV+B_NYI_ECII	하/XSV + ㄴ다더니/EC
중단/B_NNGI	중단/NNG
뻔/B_NNB	뻔/NNB
인격자/B_NNGII	인격자/NNG
지난해/B_NNGII	지난해/NNG
구걸/B_NNGI	구걸/NNG
사육/B_NNGI	사육/NNG
총독부/B_NNGII	총독부/NNG
경고/B_NNGI	경고/NNG
비켜/B_VVI+EC	비키/VV + 어/EC
탄력/B_NNGI	탄력/NNG
끈다/B_VV+EFI	끌/VV + ㄴ다/EF
서글픈/B_VAII+ETM	서글프/VA + ㄴ/ETM
임신/B_NNGI	임신/NNG
태양/B_NNGI	태양/NNG
반증/B_NNGI	반증/NNG
대전관/B_NNGII	대전관/NNG
법률/B_NNGI	법률/NNG
교향악단/B_NNGIII	교향악단/NNG
두엄/B_NNGI	두엄/NNG
척/B_NNB	척/NNB
끌어당긴다/B_VVIII+B_NYI_EF	끌어당기/VV + ㄴ다/EF
복잡/B_XRI	복잡/XR
웨딩/B_NNGI	웨딩/NNG
거듭/B_MAGI	거듭/MAG
들/B_XSN	들/XSN
즐거움/B_NNGII	즐거움/NNG
놈/B_NNB	놈/NNB
목공일/B_NNGII	목공일/NNG
안동/B_NNPI	안동/NNP
가르/B_VVI	가르/VV
저런/B_MMI	저런/MM
뱃속/B_NNGI	뱃속/NNG
최선/B_NNGI	최선/NNG
쯤/B_NNG	쯤/NNG
기초/B_NNGI	기초/NNG
대교유통/B_NNPIII	대교유통/NNP
결단/B_NNGI	결단/NNG
높여/B_VVI+EC	높이/VV + 어/EC
넘긴다구요/B_VVI+B_NYI_EFII	넘기/VV + ㄴ다구요/EF
비상조치/B_NNGIII	비상조치/NNG
지대/B_NNGI	지대/NNG
넘겼/B_VVI+EP	넘기/VV + 었/EP
나이/B_NNGI	나이/NNG
가르친다/B_VVII+B_NYI_EF	가르치/VV + ㄴ다/EF
되돌아가/B_VVIII+EC	되돌아가/VV + 아/EC
훈이/B_NNPI	훈이/NNP
앞뒤/B_NNGI	앞뒤/NNG
시청자/B_NNGII	시청자/NNG
움직이/B_VVII	움직이/VV
서글서글/B_XRIII	서글서글/XR
햅번/B_NNPI	햅번/NNP
온존/B_NNGI	온존/NNG
무덤가/B_NNGII	무덤가/NNG
중얼거리/B_VVIII	중얼거리/VV
어려워요/B_VAI+B_NYI_EFI	어렵/VA + 어요/EF
기획력/B_NNGII	기획력/NNG
차려/B_VVI+EC	차리/VV + 어/EC
시킨/B_VVI+ETM	시키/VV + ㄴ/ETM
취객/B_NNGI	취객/NNG
차려/B_VVI+EF	차리/VV + 어/EF
인도인/B_NNGII	인도인/NNG
신문사/B_NNGII	신문사/NNG
요오드란/B_NNGIII	요오드란/NNG
합/B_NNG	합/NNG
패망/B_NNGI	패망/NNG
늠름/B_XRI	늠름/XR
전달자/B_NNGII	전달자/NNG
겠/B_VX+EP	하/VX + 겠/EP
그대로/B_MAGII	그대로/MAG
교포/B_NNGI	교포/NNG
도/B_JX	도/JX
이순/B_NNGI	이순/NNG
빛/B_NNG	빛/NNG
눈초리/B_NNGII	눈초리/NNG
보람터/B_NNPII	보람터/NNP
백송/B_NNGI	백송/NNG
동그라미/B_NNGIII	동그라미/NNG
용품/B_NNGI	용품/NNG
입매/B_NNGI	입매/NNG
김주영/B_NNPII	김주영/NNP
싸웠/B_VVI+EP	싸우/VV + 었/EP
음성/B_NNGI	음성/NNG
도장/B_NNGI	도장/NNG
풀이/B_NNGI	풀이/NNG
법령/B_NNGI	법령/NNG
과열/B_NNGI	과열/NNG
길래/B_ECI	길래/EC
춤춘/B_VVI+ETM	춤추/VV + ㄴ/ETM
커졌/B_VVI+EP	커지/VV + 었/EP
의해/B_VVI+EC	의하/VV + 아/EC
남북한/B_NNPII	남북한/NNP
파악/B_NNGI	파악/NNG
참말/B_NNGI	참말/NNG
진/B_NNP	진/NNP
틀/B_VV	틀/VV
72/B_SNI	72/SN
가르치/B_VVII	가르치/VV
부문/B_NNGI	부문/NNG
단발머리/B_NNGIII	단발머리/NNG
밑지/B_VVI	밑지/VV
